東京競馬場　人気別成績（10年間平均）
人気	単勝率	（回収率）	複勝率	（回収率）	着回数
1	34.5	80.7	64.5	83.1	546-301-178-559|1584
2	19.4	78.8	53.2	85.0	307-295-242-738|1582
3	13.7	83.7	42.3	82.7	216-227-230-908|1581
4	10.1	83.3	33.8	78.7	159-193-185-1044|1581
5	5.9	65.7	26.0	74.9	93-144-176-1168|1581
6	5.9	92.1	22.1	79.9	93-107-152-1232|1584
7	3.2	69.4	13.9	65.1	51-85-85-1364|1585
8	2.2	65.3	11.4	66.7	34-54-90-1387|1565
9	1.3	42.9	9.6	70.4	19-53-73-1373|1518
10	1.1	53.3	7.6	67.7	16-37-57-1343|1453
11	1.1	80.5	6.2	82.6	15-33-37-1293|1378
12	1.0	68.6	4.9	68.8	13-22-28-1224|1287
13	0.5	56.2	3.9	70.7	6-15-25-1146|1192
14	0.6	74.2	2.1	44.3	6-5-12-1067|1090
15	0.4	64.4	1.5	40.0	4-5-6-956|971
16	0.5	163.5	1.6	57.4	4-2-7-816|829
17	0.0	0.0	0.0	0.0	0-0-0-154|154
18	0.0	0.0	1.7	68.6	0-0-2-116|118
